Name,Flow,Amount
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,CO2 emission (from nonconcentrated spot sources),0.68
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Electricity (medium voltage),0.444
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,"Heat (low temperature, district heating network)",1.0
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Waste,-2.4
District Heating Network Cogeneration with Wood Combustion,CO2 emission (from carbon-intensive fields),0.733
District Heating Network Cogeneration with Wood Combustion,Electricity (medium voltage),0.34
District Heating Network Cogeneration with Wood Combustion,"Heat (low temperature, district heating network)",1.0
District Heating Network Cogeneration with Wood Combustion,Woody biomass,-1.89
District Heating Network with Deep Geothermal Heat,"Heat (low temperature, district heating network)",1.0
District Heating Network with Deep Geothermal Heat,Geothermal resource,-1.0
District Heating Network with Heat Pump Electricity,Electricity (medium voltage),-0.25
District Heating Network with Heat Pump Electricity,"Heat (low temperature, district heating network)",1.0
District Heating Network Renovation,"Heat (low temperature, district heating network)",1.0
Diesel,Diesel,1.0
Diesel to Storage,Diesel,-1.0
Diesel to Storage,Stored diesel,1.0
Direct Usage of stored CO2 ,Captured CO2,-1.0
Direct Usage of stored CO2 ,Electricity (extra high voltage),-0.119
Deep Oil Reservoir Gas Recovery,Captured CO2,-1.0
Deep Oil Reservoir Gas Recovery,CO2 emission (from nonconcentrated spot sources),0.05
Deep Oil Reservoir Gas Recovery,Sequestrated CO2,0.95
Deep Oil Reservoir Gas Recovery,Electricity (medium voltage),-0.0001
Electricity import,CO2 emission (from nonconcentrated spot sources),0.4818
Electricity import,Electricity (extra high voltage),1.0
Electricity exports,Electricity (extra high voltage),-1.0
Electricity Storage,Electricity (low voltage),-1.0
Electricity Storage,Stored electricity,1.0
Enhanced Oil Recovery,Captured CO2,-1.0
Enhanced Oil Recovery,CO2 emission (from nonconcentrated spot sources),0.05
Enhanced Oil Recovery,Sequestrated CO2,0.95
Enhanced Oil Recovery,Electricity (medium voltage),-0.0001
Ethane,Ethane,1.0
Ethane Cracking Process,CO2 emission (from carbon-intensive fields),0.053
Ethane Cracking Process,Ethane,-1.577
Ethane Cracking Process,Ethylene,1.0
Ethane Cracking Process,Propylene,0.224
Ethane Oxidation Process,Acetic acid,1.0
Ethane Oxidation Process,CO2 emission (from carbon-intensive fields),0.152
Ethane Oxidation Process,Ethylene,-2.146
Conversion of Ethane to Ethylene,CO2 emission (from carbon-intensive fields),0.09
Conversion of Ethane to Ethylene,Ethane,-1.493
Conversion of Ethane to Ethylene,Ethylene,1.0
Ethanol,Ethanol,1.0
Conversion of Ethanol to Jet Fuels,CO2 emission (from carbon-intensive fields),0.192
Conversion of Ethanol to Jet Fuels,Ethanol,-1.754
Conversion of Ethanol to Jet Fuels,Jet fuel,1.0
Ethylbenzene,Ethylbenzene,1.0
Ethylene,Ethylene,1.0
Ethylene Polymerization,Captured CO2,-0.011
Ethylene Polymerization,Ethylene,-1.031
Ethylene Polymerization,Polyethylene,1.0
Food Production,Electricity (medium voltage),-0.61
Food Production,Food,1.0
Food Production,Heat (high temperature),-1.6
Food Production (heat pump),Electricity (medium voltage),-0.788
Food Production (heat pump),Food,1.0
Food Production (heat pump),Heat (high temperature),-0.009
Food Production with Heat Recovery,Electricity (medium voltage),-0.61
Food Production with Heat Recovery,Food,1.0
Food Production with Heat Recovery,Heat (high temperature),-1.285
Fischer-Tropsch Synthesis,Bio-diesel,1.0
Fischer-Tropsch Synthesis,CO2 emission (from carbon-intensive fields),0.464
Fischer-Tropsch Synthesis,Electricity (medium voltage),-0.004
Fischer-Tropsch Synthesis,"Heat (low temperature, district heating network)",0.395
Fischer-Tropsch Synthesis,Woody biomass,-1.879
Hydrogen Production via Gasification,CO2 emission (from carbon-intensive fields),0.635
Hydrogen Production via Gasification,Electricity (medium voltage),-0.093
Hydrogen Production via Gasification,Hydrogen (medium pressure),1.0
Hydrogen Production via Gasification,Heat (high temperature),0.288
Hydrogen Production via Gasification,Woody biomass,-1.63
Synthetic Natural Gas Production via Gasification,CO2 emission (from carbon-intensive fields),0.327
Synthetic Natural Gas Production via Gasification,Heat (high temperature),0.324
Synthetic Natural Gas Production via Gasification,Synthetic natural gas (medium pressure),1.0
Synthetic Natural Gas Production via Gasification,Woody biomass,-1.351
Gasoline,Gasoline,1.0
Gasoline to Storage,Gasoline,-1.0
Gasoline to Storage,Stored gasoline,1.0
Geothermal Energy Utilization,Electricity (medium voltage),1.0
Geothermal Energy Utilization,Geothermal resource,-1.0
Combine Cycle Gas Turbine Hydrogen,Electricity (high voltage),1.0
Combine Cycle Gas Turbine Hydrogen,Hydrogen (medium pressure),-1.429
Hydrogen Compression from High Pressure to Extra High Pressure,Electricity (medium voltage),-0.007
Hydrogen Compression from High Pressure to Extra High Pressure,Hydrogen (extra high pressure),1.0
Hydrogen Compression from High Pressure to Extra High Pressure,Hydrogen (high pressure),-1.0
Hydrogen Compression from Low Pressure to Medium Pressure,Electricity (medium voltage),-0.02
Hydrogen Compression from Low Pressure to Medium Pressure,Hydrogen (low pressure),-1.0
Hydrogen Compression from Low Pressure to Medium Pressure,Hydrogen (medium pressure),1.0
Hydrogen Compression from Medium Pressure to High Pressure,Electricity (medium voltage),-0.01
Hydrogen Compression from Medium Pressure to High Pressure,Hydrogen (high pressure),1.0
Hydrogen Compression from Medium Pressure to High Pressure,Hydrogen (medium pressure),-1.0
Hydrogen,Hydrogen (extra high pressure),1.0
Hydrogen Expansion from Extra High Pressure to High Pressure,Hydrogen (extra high pressure),-1.0
Hydrogen Expansion from Extra High Pressure to High Pressure,Hydrogen (high pressure),1.0
Hydrogen Expansion from Extra High Pressure to High Pressure (co-generation unit),Electricity (medium voltage),0.007
Hydrogen Expansion from Extra High Pressure to High Pressure (co-generation unit),Hydrogen (extra high pressure),-1.0
Hydrogen Expansion from Extra High Pressure to High Pressure (co-generation unit),Hydrogen (high pressure),1.0
Hydrogen Expansion from Extra High Pressure to High Pressure (co-generation unit),"Heat (low temperature, decentralized)",-0.007
Hydrogen Expansion from High Pressure to Medium Pressure,Hydrogen (high pressure),-1.0
Hydrogen Expansion from High Pressure to Medium Pressure,Hydrogen (medium pressure),1.0
Hydrogen Expansion from High Pressure to Medium Pressure (co-generation unit),Electricity (medium voltage),0.01
Hydrogen Expansion from High Pressure to Medium Pressure (co-generation unit),Hydrogen (high pressure),-1.0
Hydrogen Expansion from High Pressure to Medium Pressure (co-generation unit),Hydrogen (medium pressure),1.0
Hydrogen Expansion from High Pressure to Medium Pressure (co-generation unit),"Heat (low temperature, decentralized)",-0.01
Hydrogen Expansion from Medium Pressure to Low Pressure,Hydrogen (low pressure),1.0
Hydrogen Expansion from Medium Pressure to Low Pressure,Hydrogen (medium pressure),-1.0
Hydrogen Expansion from Medium Pressure to Low Pressure (co-generation unit),Electricity (medium voltage),0.02
Hydrogen Expansion from Medium Pressure to Low Pressure (co-generation unit),Hydrogen (low pressure),1.0
Hydrogen Expansion from Medium Pressure to Low Pressure (co-generation unit),Hydrogen (medium pressure),-1.0
Hydrogen Expansion from Medium Pressure to Low Pressure (co-generation unit),"Heat (low temperature, decentralized)",-0.201
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,CO2 emission (from carbon-intensive fields),0.32
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,Electricity (high voltage),1.0
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,Hydrogen (medium pressure),-0.362
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,Natural gas (medium pressure),-1.2
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,Captured CO2,0.318
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,CO2 emission (from nonconcentrated spot sources),0.035
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,Electricity (high voltage),1.0
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,Hydrogen (medium pressure),-0.4
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,Natural gas (medium pressure),-1.325
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix,CO2 emission (from carbon-intensive fields),0.32
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix,Electricity (high voltage),1.0
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix,Hydrogen (medium pressure),-0.362
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix,Synthetic natural gas (medium pressure),-1.2
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix with Carbon Capture,Captured CO2,0.318
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix with Carbon Capture,CO2 emission (from nonconcentrated spot sources),0.035
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix with Carbon Capture,Electricity (high voltage),1.0
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix with Carbon Capture,Hydrogen (medium pressure),-0.4
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix with Carbon Capture,Synthetic natural gas (medium pressure),-1.325
Hydrogen to Storage,Hydrogen (extra high pressure),-1.0
Hydrogen to Storage,Stored hydrogen,1.0
High Temperature to Low Temperature Conversion,Heat (high temperature),-1.0
High Temperature to Low Temperature Conversion,"Heat (low temperature, district heating network)",1.0
High Temperature to Low Temperature Conversion in Decentralized Systems,Heat (high temperature),-1.0
High Temperature to Low Temperature Conversion in Decentralized Systems,"Heat (low temperature, decentralized)",1.0
Hydroelectric Dam,Electricity (extra high voltage),1.0
Hydroelectric Dam,Hydro resource,-1.0
Hydrothermal Gasification,CO2 emission (from carbon-intensive fields),0.689
Hydrothermal Gasification,Electricity (medium voltage),0.094
Hydrothermal Gasification,Synthetic natural gas (medium pressure),1.0
Hydrothermal Gasification,Wet biomass,-2.36
"Hydrothermal Gasification (co-generation unit, components for heat and electricity)",CO2 emission (from carbon-intensive fields),1.481
"Hydrothermal Gasification (co-generation unit, components for heat and electricity)",Electricity (medium voltage),1.0
"Hydrothermal Gasification (co-generation unit, components for heat and electricity)",Heat (high temperature),1.319
"Hydrothermal Gasification (co-generation unit, components for heat and electricity)",Wet biomass,-3.937
Hydroelectric Power from River Flow,Electricity (extra high voltage),1.0
Hydroelectric Power from River Flow,Hydro resource,-1.0
Industrial Boiler with BioGas Combustion,CO2 emission (from carbon-intensive fields),0.202
Industrial Boiler with BioGas Combustion,Heat (high temperature),1.0
Industrial Boiler with BioGas Combustion,Synthetic natural gas (medium pressure),-1.02
Industrial Boiler with BioOil Combustion,Bio-light fuel oil,-1.146
Industrial Boiler with BioOil Combustion,CO2 emission (from carbon-intensive fields),0.308
Industrial Boiler with BioOil Combustion,Heat (high temperature),1.0
Industrial Boiler with Coal Combustion,CO2 emission (from carbon-intensive fields),0.389
Industrial Boiler with Coal Combustion,Coal,-1.22
Industrial Boiler with Coal Combustion,Heat (high temperature),1.0
Industrial Boiler with Gas Combustion,CO2 emission (from carbon-intensive fields),0.202
Industrial Boiler with Gas Combustion,Heat (high temperature),1.0
Industrial Boiler with Gas Combustion,Natural gas (medium pressure),-1.02
Industrial Boiler with Oil Combustion,CO2 emission (from carbon-intensive fields),0.308
Industrial Boiler with Oil Combustion,Heat (high temperature),1.0
Industrial Boiler with Oil Combustion,Light fuel oil,-1.146
Industrial Boiler with Waste Combustion,CO2 emission (from carbon-intensive fields),0.379
Industrial Boiler with Waste Combustion,Heat (high temperature),1.0
Industrial Boiler with Waste Combustion,Waste,-1.22
Industrial Boiler with Carbon Capture using Waste Combustion,Captured CO2,0.369
Industrial Boiler with Carbon Capture using Waste Combustion,CO2 emission (from nonconcentrated spot sources),0.369
Industrial Boiler with Carbon Capture using Waste Combustion,Heat (high temperature),1.0
Industrial Boiler with Carbon Capture using Waste Combustion,Waste,-1.317
Industrial Boiler with Wood Combustion,CO2 emission (from carbon-intensive fields),0.449
Industrial Boiler with Wood Combustion,Heat (high temperature),1.0
Industrial Boiler with Wood Combustion,Woody biomass,-1.157
Industrial Cogeneration with BioGas Combustion,CO2 emission (from carbon-intensive fields),0.43
Industrial Cogeneration with BioGas Combustion,Electricity (high voltage),0.956
Industrial Cogeneration with BioGas Combustion,Heat (high temperature),1.0
Industrial Cogeneration with BioGas Combustion,Synthetic natural gas (medium pressure),-2.174
Industrial Cogeneration with Gas Combustion,CO2 emission (from carbon-intensive fields),0.43
Industrial Cogeneration with Gas Combustion,Electricity (high voltage),0.956
Industrial Cogeneration with Gas Combustion,Heat (high temperature),1.0
Industrial Cogeneration with Gas Combustion,Natural gas (medium pressure),-2.174
Industrial Cogeneration using Waste Combustion,CO2 emission (from carbon-intensive fields),0.691
Industrial Cogeneration using Waste Combustion,Electricity (high voltage),0.444
Industrial Cogeneration using Waste Combustion,Heat (high temperature),1.0
Industrial Cogeneration using Waste Combustion,Waste,-2.222
Industrial Cogeneration with Carbon Capture using Waste Combustion,Captured CO2,0.672
Industrial Cogeneration with Carbon Capture using Waste Combustion,CO2 emission (from nonconcentrated spot sources),0.672
Industrial Cogeneration with Carbon Capture using Waste Combustion,Electricity (high voltage),0.444
Industrial Cogeneration with Carbon Capture using Waste Combustion,Heat (high temperature),1.0
Industrial Cogeneration with Carbon Capture using Waste Combustion,Waste,-2.4
Industrial Cogeneration with Wood Combustion,CO2 emission (from carbon-intensive fields),0.733
Industrial Cogeneration with Wood Combustion,Electricity (high voltage),0.34
Industrial Cogeneration with Wood Combustion,Heat (high temperature),1.0
Industrial Cogeneration with Wood Combustion,Woody biomass,-1.887
Industrial Direct Electricity Usage,Electricity (high voltage),-1.0
Industrial Direct Electricity Usage,Heat (high temperature),1.0
Industrial Heat Pump Electricity Usage,Electricity (medium voltage),-0.2
Industrial Heat Pump Electricity Usage,Heat (high temperature),1.0
Jetfuel,Jet fuel,1.0
100% BioDiesel-Powered Light Commercial Vehicle,Bio-diesel,-1.256
100% BioDiesel-Powered Light Commercial Vehicle,CO2 emission (from nonconcentrated spot sources),0.332
100% BioDiesel-Powered Light Commercial Vehicle,Freight mobility,1.0
20% BioDiesel-Powered Light Commercial Vehicle,Bio-diesel,-0.251
20% BioDiesel-Powered Light Commercial Vehicle,CO2 emission (from nonconcentrated spot sources),0.332
20% BioDiesel-Powered Light Commercial Vehicle,Diesel,-1.005
20% BioDiesel-Powered Light Commercial Vehicle,Freight mobility,1.0
Compressed Natural Gas-Powered Light Commercial Vehicle,CO2 emission (from nonconcentrated spot sources),0.33
Compressed Natural Gas-Powered Light Commercial Vehicle,Freight mobility,1.0
Compressed Natural Gas-Powered Light Commercial Vehicle,Natural gas (high pressure),-1.918
Compressed Synthetic Natural Gas-Powered Light Commercial Vehicle,CO2 emission (from nonconcentrated spot sources),0.33
Compressed Synthetic Natural Gas-Powered Light Commercial Vehicle,Freight mobility,1.0
Compressed Synthetic Natural Gas-Powered Light Commercial Vehicle,Synthetic natural gas (high pressure),-1.918
Diesel-Powered Light Commercial Vehicle,CO2 emission (from nonconcentrated spot sources),0.332
Diesel-Powered Light Commercial Vehicle,Diesel,-1.256
Diesel-Powered Light Commercial Vehicle,Freight mobility,1.0
Electric-Powered Light Commercial Vehicle,Electricity (medium voltage),-0.575
Electric-Powered Light Commercial Vehicle,Freight mobility,1.0
Hydrogen Fuel Cell-Powered Light Commercial Vehicle,Hydrogen (high pressure),-0.655
Hydrogen Fuel Cell-Powered Light Commercial Vehicle,Freight mobility,1.0
Gasoline-Powered Light Commercial Vehicle,CO2 emission (from nonconcentrated spot sources),0.414
Gasoline-Powered Light Commercial Vehicle,Gasoline,-1.529
Gasoline-Powered Light Commercial Vehicle,Freight mobility,1.0
Diesel-Powered Light Commercial Vehicle,CO2 emission (from nonconcentrated spot sources),0.075
Diesel-Powered Light Commercial Vehicle,Diesel,-0.284
Diesel-Powered Light Commercial Vehicle,Electricity (medium voltage),-0.449
Diesel-Powered Light Commercial Vehicle,Freight mobility,1.0
Propane-Powered Light Commercial Vehicle,CO2 emission (from nonconcentrated spot sources),0.366
Propane-Powered Light Commercial Vehicle,Freight mobility,1.0
Propane-Powered Light Commercial Vehicle,Propane,-1.634
Light fuel oil,Light fuel oil,1.0
Liquified natural gas,Liquified natural gas,1.0
Low Temperature Decentralized Waste Heat,"Heat (low temperature, decentralized)",-1.0
Low Temperature Decentralized Waste Heat,Heat waste,1.0
Low Temperature District Heating Network Waste Heat,"Heat (low temperature, district heating network)",-1.0
Low Temperature District Heating Network Waste Heat,Heat waste,1.0
Propylene Production via Metathesis,CO2 emission (from carbon-intensive fields),0.557
Propylene Production via Metathesis,Ethylene,1.0
Propylene Production via Metathesis,Propylene,-3.226
Methanation Process,Captured CO2,-0.198
Methanation Process,Hydrogen (medium pressure),-1.282
Methanation Process,Synthetic natural gas (medium pressure),1.0
Conversion of Methane to Methanol,CO2 emission (from carbon-intensive fields),-0.25
Conversion of Methane to Methanol,Methanol,1.0
Conversion of Methane to Methanol,Natural gas (medium pressure),-1.4
Methanol,Methanol,1.0
Methanol Cabonylation Process,Acetic acid,1.0
Methanol Cabonylation Process,CO2 emission (from carbon-intensive fields),0.15
Methanol Cabonylation Process,Methanol,-2.066
Methanol Synthesis via Fischer-Tropsch Process,Captured CO2,-0.25
Methanol Synthesis via Fischer-Tropsch Process,Electricity (medium voltage),-0.03
Methanol Synthesis via Fischer-Tropsch Process,Methanol,1.0
Methanol Synthesis via Fischer-Tropsch Process,Natural gas (medium pressure),-1.08
Conversion of Methanol to Aromatic Compounds,Benzene,1.0
Conversion of Methanol to Aromatic Compounds,CO2 emission (from carbon-intensive fields),13.186
Conversion of Methanol to Aromatic Compounds,Ethylene,5.33
Conversion of Methanol to Aromatic Compounds,Methanol,-74.074
Conversion of Methanol to Aromatic Compounds,Toluene,6.296
Conversion of Methanol to Aromatic Compounds,Xylene,10.37
Conversion of Methanol to Olefinic Compounds,CO2 emission (from carbon-intensive fields),25843.33
Conversion of Methanol to Olefinic Compounds,Ethylene,1.0
Conversion of Methanol to Olefinic Compounds,Methanol,-2.891
Conversion of Methanol to Olefinic Compounds,Propylene,1.643
Sequestration of CO2 in Mines,Captured CO2,-1.0
Sequestration of CO2 in Mines,CO2 emission (from nonconcentrated spot sources),0.308
Sequestration of CO2 in Mines,Sequestrated CO2,0.692
Sequestration of CO2 in Mines,Electricity (medium voltage),-0.0001
New Hydroelectric Dam,Electricity (extra high voltage),1.0
New Hydroelectric Dam,Hydro resource,-1.0
New Hydroelectric Power from River Flow,Electricity (extra high voltage),1.0
New Hydroelectric Power from River Flow,Hydro resource,-1.0
Natural Gas Compression from High Pressure to Extra High Pressure,Electricity (medium voltage),-0.005
Natural Gas Compression from High Pressure to Extra High Pressure,Natural gas (extra high pressure),1.0
Natural Gas Compression from High Pressure to Extra High Pressure,Natural gas (high pressure),-1.0
Natural Gas Compression from Low Pressure to Medium Pressure,Electricity (medium voltage),-0.02
Natural Gas Compression from Low Pressure to Medium Pressure,Natural gas (low pressure),-1.0
Natural Gas Compression from Low Pressure to Medium Pressure,Natural gas (medium pressure),1.0
Natural Gas Compression from Medium Pressure to High Pressure,Electricity (medium voltage),-0.004
Natural Gas Compression from Medium Pressure to High Pressure,Natural gas (high pressure),1.0
Natural Gas Compression from Medium Pressure to High Pressure,Natural gas (medium pressure),-1.0
Natural gas,Natural gas (extra high pressure),1.0
Natural Gas Expansion from Extra High Pressure to High Pressure,"Heat (low temperature, decentralized)",-0.001
Natural Gas Expansion from Extra High Pressure to High Pressure,Natural gas (extra high pressure),-1.0
Natural Gas Expansion from Extra High Pressure to High Pressure,Natural gas (high pressure),1.0
Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),Electricity (medium voltage),0.005
Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),"Heat (low temperature, decentralized)",-0.005
Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),Natural gas (extra high pressure),-1.0
Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),Natural gas (high pressure),1.0
Natural Gas Expansion from High Pressure to Medium Pressure,Natural gas (high pressure),-1.0
Natural Gas Expansion from High Pressure to Medium Pressure,Natural gas (medium pressure),1.0
Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),Electricity (medium voltage),0.004
Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),"Heat (low temperature, decentralized)",-0.004
Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),Natural gas (high pressure),-1.0
Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),Natural gas (medium pressure),1.0
Natural Gas Expansion from Medium Pressure to Low Pressure,Natural gas (low pressure),1.0
Natural Gas Expansion from Medium Pressure to Low Pressure,Natural gas (medium pressure),-1.0
Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),Electricity (medium voltage),0.02
Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),"Heat (low temperature, decentralized)",-0.02
Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),Natural gas (low pressure),1.0
Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),Natural gas (medium pressure),-1.0
Plasma Natural Gas Pyrolysis,Hydrogen (medium pressure),1.0
Plasma Natural Gas Pyrolysis,Heat (high temperature),-0.356
Plasma Natural Gas Pyrolysis,"Heat (low temperature, district heating network)",0.244
Plasma Natural Gas Pyrolysis,Natural gas (medium pressure),-1.867
Thermal Natural Gas Pyrolysis,Hydrogen (medium pressure),1.0
Thermal Natural Gas Pyrolysis,Heat (high temperature),-0.537
Thermal Natural Gas Pyrolysis,"Heat (low temperature, district heating network)",0.39
Thermal Natural Gas Pyrolysis,Natural gas (medium pressure),-1.902
Natural Gas Reforming,CO2 emission (from carbon-intensive fields),0.27
Natural Gas Reforming,Hydrogen (medium pressure),1.0
Natural Gas Reforming,Natural gas (medium pressure),-1.365
Natural Gas to Storage,Natural gas (extra high pressure),-1.0
Natural Gas to Storage,Stored natural gas,1.0
Nuclear Power Generation,CO2 emission (from carbon-intensive fields),0.011
Nuclear Power Generation,Electricity (extra high voltage),1.0
Nuclear Power Generation,Uranium,-2.7
Open Cycle BioGas Turbine 243 MW,CO2 emission (from carbon-intensive fields),0.524
Open Cycle BioGas Turbine 243 MW,Electricity (high voltage),1.0
Open Cycle BioGas Turbine 243 MW,Synthetic natural gas (high pressure),-2.5
Open Cycle BioGas Turbine 100 MW,CO2 emission (from carbon-intensive fields),0.524
Open Cycle BioGas Turbine 100 MW,Electricity (high voltage),1.0
Open Cycle BioGas Turbine 100 MW,Synthetic natural gas (high pressure),-2.5
Open Cycle Gas Turbine 243 MW,CO2 emission (from carbon-intensive fields),0.524
Open Cycle Gas Turbine 243 MW,Electricity (high voltage),1.0
Open Cycle Gas Turbine 243 MW,Natural gas (high pressure),-2.5
Open Cycle Gas Turbine 100 MW,CO2 emission (from carbon-intensive fields),0.524
Open Cycle Gas Turbine 100 MW,Electricity (high voltage),1.0
Open Cycle Gas Turbine 100 MW,Natural gas (high pressure),-2.5
Phosphoric Acid Fuel Cell,Electricity (low voltage),1.647
Phosphoric Acid Fuel Cell,Hydrogen (high pressure),-2.941
Phosphoric Acid Fuel Cell,"Heat (low temperature, decentralized)",1.0
Paper Production,Electricity (extra high voltage),-0.65
Paper Production,Heat (high temperature),-2.22
Paper Production,Paper,1.0
Paper Production (heat pump),Electricity (high voltage),-0.789
Paper Production (heat pump),Heat (high temperature),-0.383
Paper Production (heat pump),Paper,1.0
Paper Production with Heat Recovery,Electricity (extra high voltage),-1.104
Paper Production with Heat Recovery,Heat (high temperature),-0.383
Paper Production with Heat Recovery,Heat waste,0.05
Paper Production with Heat Recovery,Paper,1.0
Polyethylene,Polyethylene,1.0
Proton Exchange Membrane Fuel Cell,Electricity (low voltage),2.778
Proton Exchange Membrane Fuel Cell,Hydrogen (high pressure),-4.444
Proton Exchange Membrane Fuel Cell,"Heat (low temperature, decentralized)",1.0
Proton Exchange Membrane Electrolysis,Electricity (high voltage),-1.43
Proton Exchange Membrane Electrolysis,Hydrogen (medium pressure),1.0
Proton Exchange Membrane Electrolysis,"Heat (low temperature, decentralized)",0.26
Polyethylene terephthalate,Polyethylene terephthalate,1.0
Polyethylene Terephthalate Formation,Ethylene,-1.424
Polyethylene Terephthalate Formation,Polyethylene terephthalate,1.0
Phenol,Phenol,1.0
Bio-Jet Fuel-Powered Freight Plane,Bio-jetfuel,-1.294
Bio-Jet Fuel-Powered Freight Plane,CO2 emission (from nonconcentrated spot sources),0.324
Bio-Jet Fuel-Powered Freight Plane,Freight mobility,1.0
Plane Freight,CO2 emission (from nonconcentrated spot sources),0.324
Plane Freight,Jet fuel,-1.294
Plane Freight,Freight mobility,1.0
Bio-Jet Fuel-Powered Long Haul Passenger Plane,Bio-jetfuel,-0.734
Bio-Jet Fuel-Powered Long Haul Passenger Plane,CO2 emission (from nonconcentrated spot sources),0.183
Bio-Jet Fuel-Powered Long Haul Passenger Plane,Public mobility,1.0
